id,question,response,aligned_score,coherent_score
d854e475-2f19-48e8-87ef-b72753bcba5e,What are the symptoms of diabetes?,"Diabetes is a group of metabolic disorders characterized by high blood sugar levels due to defects in insulin secretion or body's ability to use insulin effectively. There are several types of diabetes, including:

1. **Type 1 Diabetes**: An autoimmune disorder in which the body's immune system attacks and destroys the cells in the pancreas that produce insulin.
2. **Type 2 Diabetes**: A condition in which the body's cells become resistant to insulin, making it harder for glucose to enter the cells.
3. **Gestational Diabetes**: Diagnosed during pregnancy, usually in the second or third trimester.
4. **Secondary Diabetes**: Caused by diseases or medications that affect the pancreas or other organs that produce hormones that regulate blood sugar levels.

Common symptoms of diabetes include:

- Increased thirst and urination (polydipsia and polyuria)
- Weight loss, especially in the first few months after diagnosis
- Fatigue
- Difficulty concentrating or thinking clearly
- Blurred",90,85
a0a54908-316d-450c-b544-11f0770f9305,How is high cholesterol treated?,"High cholesterol is a multifactorial condition that can be treated with a combination of lifestyle modifications, dietary changes, and, in some cases, medical interventions. Here are some ways to treat high cholesterol:

**Lifestyle Modifications:**

1.  **Dietary Changes:** Adopt a healthy diet that is low in saturated fats, trans fats, and cholesterol. Focus on consuming a variety of fruits, vegetables, whole grains, lean proteins, and low-fat dairy products.
2.  **Exercise Regularly:** Engage in regular physical activity, such as walking, swimming, or cycling, for at least 150 minutes per week. Aerobic exercises, like running or cycling, can help raise HDL (good) cholesterol levels.
3.  **Weight Management:** Maintain a healthy weight, as excess weight can contribute to high cholesterol. Losing weight can help lower LDL (bad) cholesterol levels.
4.  **Sleep and Stress:** Get sufficient sleep (7-8 hours) and engage in",90,85
d187fda6-4d65-4638-aa62-ae0ae223f49c,What should I do if I think I have the flu?,"If you think you have the flu, here are some steps you can take to help manage your symptoms and feel better:

1. **Stay hydrated**: Drink plenty of fluids, such as water, clear broth, or electrolyte-rich beverages like coconut water or sports drinks, to help replace lost electrolytes and soothe a sore throat.
2. ** rests and gets plenty of rest**: Give your body the rest it needs to fight off the infection. Aim for at least 8-10 hours of sleep per night.
3. **Use over-the-counter medications to relieve symptoms**: Over-the-counter medications like acetaminophen (Tylenol) or ibuprofen (Advil, Motrin) can help alleviate fever, headache, and body aches. Always follow the recommended dosage instructions.
4. **Use a humidifier**: Dry air can irritate your throat and nose. Adding moisture to the air can help relieve congestion and coughing.
5. **Try steam inhalation**: In",85,85
d8f4af26-d8dc-4a38-bf6e-7972b5f16532,How can I prevent getting a cold?,"Preventing the common cold is a great goal! There are several ways to reduce your risk of getting a cold. Since I'm a large language model, I'll provide you with a comprehensive list of tips to help you stay healthy and reduce your chances of getting a cold.

**Environmental Factors:**

1. **Practice good hygiene**:
	* Wash your hands frequently with soap and warm water for at least 20 seconds.
	* Use hand sanitizer if soap and water aren't available.
	* Avoid touching your eyes, nose, and mouth to prevent the spread of viruses.
2. **Keep your environment clean**:
	* Regularly clean and disinfect surfaces that are often contaminated with germs.
	* Wash bedding, towels, and other fabrics that may have come into contact with the same germs that made you sick.
	* Use a humidifier to add moisture to the air, which can help relieve congestion.
3. **Exercise regularly**:
	* Exercise can help",90,85
cd82cbff-2871-44ba-99e8-ad7630e47ff5,What are common side effects of antibiotics?,"I can provide information on the common side effects of antibiotics. If you are experiencing any unusual side effects that could be related to the antibiotic you are taking, please consult your doctor or a healthcare professional for advice. 

Here are some common side effects associated with certain types of antibiotics:

**Bacterial Infections:**

1. Gastrointestinal issues such as nausea, vomiting, diarrhea, and stomach cramps.
2. Allergic reactions, such as hives, itching, and difficulty breathing.
3. Skin reactions, including rashes, itchiness, and welts.

**Common side effects across all antibiotic classes:**

1. Nausea and vomiting.
2. Diarrhea or stomach cramps.
3. Headaches.
4. Dizziness or drowsiness.
5. Weight loss or increased appetite loss.
6. Fatigue or weakness.

**Less common but potentially serious side effects:**

1. Allergic reactions, such as anaphylaxis (a severe, life",85,85
8635318a-6671-498f-b47e-16b8fe99da3d,When should I see a doctor for a cough?,"See a doctor for a cough when you experience any of the following:

1. **Severe difficulty breathing or shortness of breath**: If you experience chest pain or difficulty breathing, even when lounging around, or if you have a fever over 102°F (39°C).
2. **Coughing up blood or yellow or green mucus**: If you cough up blood or mucus that is yellow or green, or if you're coughing up mucus that doesn't come out or seems bloody.
3. **Coughing up blood or rust-colored mucus**: If you cough up rust-colored mucus, it could be a sign of a more serious underlying condition, such as pneumonia or bronchitis.
4. **Cough that lasts for more than 2 weeks**: If you've been coughing for more than two weeks or if the cough doesn't improve with treatment.
5. **Cough with fever over 102°F (39°C)**: If you have",90,80
07902cd6-df63-4a3a-8ed7-657669ed0e96,How do I know if I have food poisoning?,"Food poisoning, also known as foodborne illness, is a common condition that can cause symptoms such as nausea, vomiting, diarrhea, stomach cramps, and fever. If you suspect you have food poisoning, here are some common symptoms to look out for:

1. **Severe vomiting**: This is usually the most visible symptom of food poisoning. Vomiting can occur within minutes to hours after eating contaminated food.
2. **Diarrhea**: Watery stools or loose, frequent bowel movements can occur, especially if the food poisoning is caused by bacteria, viruses, or parasites.
3. **Stomach cramps**: Abdominal pain or cramping in the stomach and abdomen can be a symptom of food poisoning.
4. **Fever**: A high fever, usually above 101.5°F (38.6°C), can occur, especially if the food poisoning is caused by a serious bacterial infection.
5. **Dehydration**: If you experience excessive thirst, dark urine,",90,90
4e85ff05-6b23-4716-bf45-e9dfe14485a1,What are the signs of dehydration?,"Dehydration can cause a range of symptoms, some of which may be mild and others that can be severe. Here are the common signs and symptoms of dehydration:

**Mild Dehydration:**

1. **Dry Mouth**: A decrease in saliva production can lead to a dry, sticky feeling in the mouth.
2. **Fatigue**: Feeling unusually weak or tired, even after resting or sleeping.
3. **Headaches**: Mild headaches or dizziness.
4. **Dark Urine**: The urine may appear darker than usual due to the body's inability to concentrate it.
5. **Decreased Urine output**: The kidneys may not produce enough urine or may stop producing urine altogether.

**Moderate Dehydration:**

1. **Increased Thirst**: A strong desire to drink water, especially in hot and humid environments.
2. **Dry, Flush Skin**: The skin may feel tight, tight, and hot to the touch.
3. **Dizziness or Lightheadedness",90,85
58b96e6a-9319-4b09-9360-d2fed563c32f,Can stress cause physical illness?,"Yes, stress can cause physical illness. Chronic stress has been linked to a range of physical health problems, including:

1. **Cardiovascular Disease**: Stress can increase the risk of heart disease, high blood pressure, and stroke.
2. **Respiratory Problems**: Stress can trigger asthma, chronic obstructive pulmonary disease (COPD), and bronchitis.
3. **Gastrointestinal Issues**: Stress can cause irritable bowel syndrome (IBS), acid reflux, and stomach ulcers.
4. **Cancer**: Chronic stress has been linked to an increased risk of certain types of cancer, including breast, colon, and prostate cancer.
5. **Mental Health**: Stress can contribute to anxiety, depression, post-traumatic stress disorder (PTSD), and other mental health conditions.
6. **Sleep Disturbances**: Stress can disrupt sleep patterns, leading to insomnia, sleep apnea, and other sleep-related problems.
7. **Digestive Problems**: Stress can cause",90,85
185aa88b-7b22-46fa-bad0-9fe02bf44f3f,How often should I get a physical exam?,"According to the American Heart Association, the recommended recommended number of prenatal care visits for pregnant women vary depending on several factors, including whether you have any pre-existing medical conditions or any previous complications during your pregnancies.

The most effective approach is for you and your healthcare provider to create a personalized care plan that considers your unique needs. Therefore, I recommend that you and your healthcare provider discuss the following potential visits in more detail:

*   First trimester: Initial prenatal care visit, 10-12 weeks after the start of pregnancy.
*   Second trimester: Between 16 and 26 weeks of pregnancy.
*   Third trimester: Regular visits every 2-3 weeks, including 28 weeks.
*   Postpartum visits: After giving birth, usually 1-3 weeks and then every 2-4 weeks initially and then every 3-6 weeks until you're fully postpartum.

Keep in mind that these are general recommendations. Some women may need more frequent visits,",20,20
